kepoi_name,kepler_name,koi_disposition,koi_period,koi_prad,koi_model_snr,p_planet_oof
K01450.01,Kepler-854 b,CONFIRMED,2.144632238,59.19,334.8,3.0608972733978546e-05
K03278.01,,FALSE POSITIVE,88.1804682,2.78,17.5,0.9997993326092242
K02451.01,,FALSE POSITIVE,13.37499553,2.01,16.9,0.999644373939775
K06233.01,Kepler-1645 b,CONFIRMED,16.17803,2.25,6.0,0.0004352229870837002
K07016.01,Kepler-452 b,CONFIRMED,384.847556,1.09,12.3,0.0005878493271197696
K03503.02,Kepler-1703 c,CONFIRMED,31.8245304,0.8,7.7,0.0007550078745816565
K02307.01,,FALSE POSITIVE,4.150297119,3.03,24.2,0.9991676098031748
K07368.01,Kepler-1974 b,CONFIRMED,6.842939,,,0.0010155579545378809
K00245.04,Kepler-37 e,CONFIRMED,51.20690303,,,0.0012474628306285542
K01416.01,Kepler-840 b,CONFIRMED,2.495780169,15.75,171.4,0.0016009490759753922
K00846.01,Kepler-699 b,CONFIRMED,27.807566216,13.84,748.1,0.001663760622301192
K02306.01,,FALSE POSITIVE,0.512407185,1.03,46.1,0.9980972945398043
K01623.01,,FALSE POSITIVE,110.9215892,3.71,48.2,0.9979474317327511
K04473.01,Kepler-1607 b,CONFIRMED,13.6471211,1.25,14.7,0.00229281800599183
K03794.01,Kepler-1520 b,CONFIRMED,0.65355361,22.95,217.4,0.0030973041867939964
K03503.01,Kepler-1703 b,CONFIRMED,21.1876185,0.79,8.5,0.003510646632649678
K03226.01,,FALSE POSITIVE,4.29388808,1.68,17.9,0.996486815358633
K01274.01,Kepler-421 b,CONFIRMED,704.962626,4.53,96.1,0.004917896192841114
K00929.02,Kepler-730 c,CONFIRMED,2.85188338,1.23,10.1,0.005763918375504385
K00256.01,,FALSE POSITIVE,1.378649746,6.51,172.2,0.9938789028005298
K00013.01,Kepler-13 b,CONFIRMED,1.763587535,21.42,4061.9,0.006602671385486193
K03194.01,,FALSE POSITIVE,10.81315417,1.46,16.6,0.9933950464969533
K04193.01,,FALSE POSITIVE,94.180473,4.17,15.6,0.9926999749182337
K04625.01,Kepler-1964 b,CONFIRMED,2.440839436,21.29,14.4,0.007489164210987504
K07036.01,,FALSE POSITIVE,11.93137992,0.56,14.7,0.9924087807400283
K03728.01,Kepler-1517 b,CONFIRMED,5.546083089,22.27,56.4,0.008144864659241429
K00242.01,Kepler-503 b,FALSE POSITIVE,7.258450123,5.53,288.6,0.9915620864196845
K05361.01,,FALSE POSITIVE,22.0495604,1.9,15.4,0.9911946852318289
K04706.01,Kepler-1620 b,CONFIRMED,101.952048,1.31,10.3,0.009024775070682941
K02768.03,,FALSE POSITIVE,11.83271013,1.17,12.7,0.9904461618747415
K00120.01,,FALSE POSITIVE,20.5452375,2.41,18.5,0.9893395364863543
K04585.01,Kepler-1616 b,CONFIRMED,6.76289308,1.21,14.6,0.011243489886407491
K04516.01,,FALSE POSITIVE,5.35745121,1.65,16.4,0.9879199357398882
K00379.01,,FALSE POSITIVE,6.71725648,2.78,49.1,0.9876491830127849
K00002.01,Kepler-2 b,CONFIRMED,2.204735417,16.1,5945.9,0.017225947342581108
K04469.01,,FALSE POSITIVE,0.894172544,0.68,16.9,0.9826890348491395
K03400.01,,FALSE POSITIVE,33.3239576,2.55,173.7,0.9788718312055237
K02513.01,Kepler-2002 b,CONFIRMED,19.0054098,28.47,20.2,0.021974536828787118
K04056.01,Kepler-1935 b,CONFIRMED,3.951383138,23.51,23.9,0.022012363339094877
K01701.01,,FALSE POSITIVE,2.43902575,2.61,20.5,0.9776155539339789
K03033.01,,FALSE POSITIVE,8.55935323,1.21,20.4,0.9735016015097115
K06470.01,,FALSE POSITIVE,8.65303996,1.88,14.7,0.9687900253827472
K01761.01,,FALSE POSITIVE,10.12742274,3.8,19.5,0.9657246671060971
K02601.01,,FALSE POSITIVE,2.622134451,1.64,42.9,0.9648313401979633
K04143.01,,FALSE POSITIVE,1.85447373,1.33,18.9,0.9558497864877359
K00737.01,,FALSE POSITIVE,14.49839316,5.16,125.6,0.9474236032997977
